datetime,cartPos,cartVel,pendPos,pendVel,action,cartController,exploration
38:17.2,319.24,0,178,0,0,Gamepad,0
38:17.3,319.24,0,179,1,0,Gamepad,0
38:17.3,319.24,0,180,1,0,Gamepad,0
38:17.3,319.24,0,181,1,0,Gamepad,0
38:17.3,319.24,0,181,0,0,Gamepad,0
38:17.3,318.9,-0.34,182,1,0,Gamepad,0
38:17.4,319.24,0.34,182,0,0,Gamepad,0
38:17.4,319.24,0,182,0,0,Gamepad,0
38:17.4,319.24,0,183,1,0,Gamepad,0
38:17.4,319.24,0,183,0,0,Gamepad,0
38:17.4,319.24,0,183,0,0,Gamepad,0
38:17.5,319.24,0,183,0,0,Gamepad,0
38:17.5,319.24,0,183,0,0,Gamepad,0
38:17.5,319.24,0,183,0,0,Gamepad,0
38:17.5,319.24,0,182,-1,0,Gamepad,0
38:17.5,319.24,0,182,0,0,Gamepad,0
38:17.6,319.24,0,182,0,0,Gamepad,0
38:17.6,319.24,0,181,-1,0,Gamepad,0
38:17.6,319.24,0,181,0,0,Gamepad,0
38:17.6,319.24,0,181,0,0,Gamepad,0
38:17.6,319.24,0,180,-1,0,Gamepad,0
38:17.7,319.24,0,180,0,0,Gamepad,0
38:17.7,319.24,0,180,0,0,Gamepad,0
38:17.7,318.9,-0.34,179,-1,0,Gamepad,0
38:17.7,318.9,0,179,0,0,Gamepad,0
38:17.7,319.24,0.34,178,-1,0,Gamepad,0
38:17.8,319.24,0,178,0,0,Gamepad,0
38:17.8,319.24,0,178,0,0,Gamepad,0
38:17.8,319.24,0,178,0,0,Gamepad,0
38:17.8,319.24,0,178,0,0,Gamepad,0
38:17.8,319.24,0,178,0,0,Gamepad,0
38:17.9,319.24,0,178,0,0,Gamepad,0
38:17.9,319.24,0,178,0,0,Gamepad,0
38:17.9,319.24,0,178,0,0,Gamepad,0
38:17.9,319.24,0,178,0,0,Gamepad,0
38:17.9,319.24,0,178,0,0,Gamepad,0
38:18.0,319.24,0,179,1,0,Gamepad,0
38:18.0,319.24,0,179,0,0,Gamepad,0
38:18.0,319.24,0,179,0,0,Gamepad,0
38:18.0,318.9,-0.34,179,0,0,Gamepad,0
38:18.0,318.9,0,179,0,0,Gamepad,0
38:18.1,318.9,0,179,0,0,Gamepad,0
38:18.1,319.24,0.34,179,0,0,Gamepad,0
38:18.1,319.24,0,179,0,0,Gamepad,0
38:18.1,319.24,0,179,0,0,Gamepad,0
38:18.1,318.9,-0.34,179,0,0,Gamepad,0
38:18.2,318.9,0,178,-1,0,Gamepad,0
38:18.2,318.9,0,179,1,0,Gamepad,0
38:18.2,318.9,0,178,-1,0,Gamepad,0
38:18.2,318.9,0,178,0,0,Gamepad,0
38:18.2,318.9,0,179,1,0,Gamepad,0
38:18.3,318.9,0,179,0,0,Gamepad,0
38:18.3,318.9,0,179,0,0,Gamepad,0
38:18.3,319.24,0.34,179,0,0,Gamepad,0
38:18.3,319.24,0,179,0,0,Gamepad,0
38:18.3,318.9,-0.34,179,0,0,Gamepad,0
38:18.4,318.9,0,179,0,0,Gamepad,0
38:18.4,318.9,0,179,0,0,Gamepad,0
38:18.4,318.9,0,179,0,0,Gamepad,0
38:18.4,318.9,0,179,0,0,Gamepad,0
38:18.4,318.9,0,179,0,0,Gamepad,0
38:18.5,318.9,0,179,0,0,Gamepad,0
38:18.5,318.9,0,179,0,0,Gamepad,0
38:18.5,318.9,0,179,0,0,Gamepad,0
38:18.5,318.9,0,179,0,0,Gamepad,0
38:18.5,318.9,0,179,0,0,Gamepad,0
38:18.6,319.24,0.34,179,0,0,Gamepad,0
38:18.6,319.24,0,179,0,0,Gamepad,0
38:18.6,319.24,0,179,0,0,Gamepad,0
38:18.6,319.24,0,179,0,0,Gamepad,0
38:18.6,319.24,0,179,0,0,Gamepad,0
38:18.7,319.24,0,179,0,0,Gamepad,0
38:18.7,319.24,0,179,0,0,Gamepad,0
38:18.7,319.24,0,179,0,0,Gamepad,0
38:18.7,319.24,0,179,0,0,Gamepad,0
38:18.7,319.24,0,179,0,0,Gamepad,0
38:18.8,319.24,0,179,0,0,Gamepad,0
38:18.8,319.24,0,179,0,0,Gamepad,0
38:18.8,319.24,0,179,0,0,Gamepad,0
38:18.8,319.24,0,179,0,0,Gamepad,0
38:18.8,319.24,0,179,0,0,Gamepad,0
38:18.9,319.24,0,179,0,0,Gamepad,0
38:18.9,319.24,0,179,0,0,Gamepad,0
38:18.9,319.24,0,179,0,0,Gamepad,0
38:18.9,319.24,0,179,0,0,Gamepad,0
38:18.9,319.24,0,179,0,0,Gamepad,0
38:19.0,319.24,0,179,0,0,Gamepad,0
38:19.0,319.24,0,179,0,0,Gamepad,0
38:19.0,319.24,0,179,0,0,Gamepad,0
38:19.0,319.24,0,179,0,0,Gamepad,0
38:19.0,319.24,0,179,0,0,Gamepad,0
38:19.1,319.24,0,179,0,0,Gamepad,0
38:19.2,319.24,0,179,0,0,Gamepad,0
38:19.3,319.24,0,179,0,0,Gamepad,0
38:19.4,319.24,0,179,0,0,Gamepad,0
38:19.5,319.24,0,179,0,0,Gamepad,0
38:19.6,319.24,0,179,0,0,Gamepad,0
38:19.7,319.24,0,179,0,0,Gamepad,0
38:19.8,319.24,0,179,0,0,Gamepad,0
38:19.9,319.24,0,179,0,0,Gamepad,0
38:20.0,319.24,0,179,0,0,Gamepad,0
38:20.1,319.24,0,179,0,0,Gamepad,0
38:20.2,319.24,0,179,0,0,Gamepad,0
38:20.3,319.24,0,179,0,0,Gamepad,0
38:20.4,319.24,0,179,0,0,Gamepad,0
38:20.5,319.24,0,179,0,0,Gamepad,0
38:20.6,319.24,0,179,0,0,Gamepad,0
38:20.7,319.24,0,179,0,0,Gamepad,0
38:20.8,319.24,0,179,0,0,Gamepad,0
38:20.9,319.24,0,179,0,0,Gamepad,0
38:21.0,319.24,0,179,0,0,Gamepad,0
38:21.1,319.24,0,179,0,0,Gamepad,0
38:21.2,319.24,0,179,0,0,Gamepad,0
38:21.3,319.24,0,179,0,0,Gamepad,0
38:21.4,319.24,0,179,0,0,Gamepad,0
38:21.5,319.24,0,179,0,0,Gamepad,0
38:21.6,319.24,0,179,0,0,Gamepad,0
38:21.7,319.24,0,179,0,0,Gamepad,0
38:21.8,319.24,0,179,0,0,Gamepad,0
38:21.9,319.24,0,179,0,0,Gamepad,0
38:22.0,319.24,0,179,0,0,Gamepad,0
38:22.1,319.24,0,179,0,0,Gamepad,0
38:22.2,319.24,0,179,0,0,Gamepad,0
38:22.3,319.24,0,179,0,0,Gamepad,0
38:22.4,319.24,0,179,0,0,Gamepad,0
38:22.5,319.24,0,179,0,0,Gamepad,0
38:22.6,319.24,0,179,0,0,Gamepad,0
38:22.7,319.24,0,179,0,0,Gamepad,0
38:22.8,319.24,0,179,0,0,Gamepad,0
38:22.9,319.24,0,179,0,0,Gamepad,0
38:23.0,319.24,0,179,0,0,Gamepad,0
38:23.1,319.24,0,179,0,0,Gamepad,0
38:23.2,319.24,0,179,0,0,Gamepad,0
38:23.3,319.24,0,179,0,0,Gamepad,0
38:23.4,319.24,0,179,0,0,Gamepad,0
38:23.5,319.24,0,179,0,0,Gamepad,0
38:23.6,319.24,0,179,0,0,Gamepad,0
38:23.7,319.24,0,179,0,0,Gamepad,0
38:23.8,319.24,0,179,0,0,Gamepad,0
38:23.9,319.24,0,179,0,0,Gamepad,0
38:24.0,319.24,0,179,0,0,Gamepad,0
38:24.1,319.24,0,179,0,0,Gamepad,0
38:24.2,319.24,0,179,0,0,Gamepad,0
38:24.3,319.24,0,179,0,0,Gamepad,0
38:24.4,319.24,0,179,0,0,Gamepad,0
38:24.5,319.24,0,179,0,0,Gamepad,0
38:24.6,319.24,0,179,0,0,Gamepad,0
38:24.7,319.24,0,179,0,0,Gamepad,0
38:24.8,319.24,0,179,0,0,Gamepad,0
38:24.9,319.24,0,179,0,0,Gamepad,0
38:25.0,319.24,0,179,0,0,Gamepad,0
38:25.1,319.24,0,179,0,0,Gamepad,0
38:25.2,319.24,0,179,0,0,Gamepad,0
38:25.3,319.24,0,179,0,0,Gamepad,0
38:25.4,319.24,0,179,0,0,Gamepad,0
38:25.5,319.24,0,179,0,0,Gamepad,0
38:25.6,319.24,0,179,0,0,Gamepad,0
38:25.7,319.24,0,179,0,0,Gamepad,0
38:25.8,319.24,0,179,0,0,Gamepad,0
38:25.9,319.24,0,179,0,0,Gamepad,0
38:26.0,319.24,0,179,0,0,Gamepad,0
38:26.1,319.24,0,179,0,0,Gamepad,0
38:26.2,319.24,0,179,0,0,Gamepad,0
38:26.3,319.24,0,179,0,0,Gamepad,0
38:26.4,319.24,0,179,0,0,Gamepad,0
38:26.5,319.24,0,179,0,0,Gamepad,0
38:26.6,319.24,0,179,0,0,Gamepad,0
38:26.7,319.24,0,179,0,0,Gamepad,0
38:26.8,319.24,0,179,0,0,Gamepad,0
38:26.9,319.24,0,179,0,0,Gamepad,0
38:27.0,319.24,0,179,0,0,Gamepad,0
38:27.1,319.24,0,179,0,0,Gamepad,0
38:27.2,319.24,0,179,0,0,Gamepad,0
38:27.3,319.24,0,179,0,0,Gamepad,0
38:27.4,319.24,0,179,0,0,Gamepad,0
38:27.5,319.24,0,179,0,0,Gamepad,0
38:27.6,319.24,0,179,0,0,Gamepad,0
